19 | Q4
19 P4 Q16 D16 D4 O17 | R14
19 P4 Q16 D16 D3 | D5
19 P4 Q16 D16 D3 D5 | C5
19 P4 Q16 D16 D3 D5 C5 | C6
19 P4 Q16 D16 D3 D5 C5 C6 | C4
19 P4 Q16 D16 D3 D5 C5 C6 C4 | D6
19 P4 Q16 D16 D3 D5 C5 C6 C4 D6 | F3
19 P4 Q16 D16 D3 D5 C5 C6 C4 D6 F3 | D10
19 P4 Q16 E4 | D16
19 P4 Q16 E4 D16 | R14
19 P4 Q16 D3 | D16
19 P4 Q16 D3 D16 | C14
19 P4 Q16 D3 D16 C14 | C12
19 P4 Q16 D3 D16 D6 | K3
19 P4 Q16 D3 D16 D6 K3 | H3
19 P4 Q16 D3 D16 D6 K3 H3 | N3
19 P4 D4 | Q15
19 P4 D4 P17 | D17
19 P4 D4 P17 D17 | D15
19 P4 D4 Q17 | D17
19 P4 D4 Q17 D17 | D15
19 P4 D4 D16 | Q16
19 P4 D4 D16 R16 | F3
19 P4 D4 D16 R16 F3 | C6
19 P4 D4 D16 R16 F3 C6 | K3
19 P4 D4 D16 Q17 | F3
19 P4 D3 | P16
19 P4 D3 P16 | D17
19 P4 D3 P16 D17 | D5
19 P4 D3 Q15 | D16
19 P4 D3 D16 | Q16
19 P4 D3 R15 | D16
19 P4 Q15 | D5
19 P4 Q15 D5 | C15
19 P4 Q15 D5 C16 | E16
19 P4 Q15 D17 | D5
19 P4 Q15 D17 D5 | D3
19 P4 Q15 E16 | D5
19 P4 Q15 D16 | D4
19 P4 R16 | P16
19 P4 R16 P16 | D16
19 P4 R16 D4 | D16
19 P4 R16 E3 | C16
19 P4 E3 | C4
19 P4 E3 C4 | D6
19 P4 E3 C4 D6 | E4
19 P4 E3 C4 D6 E4 | D4
19 P4 E3 C4 D6 E4 D4 | D5
19 P4 E3 C4 D6 E4 D4 D5 | D3
19 P4 E3 Q17 | E17
19 P4 R4 | Q6
19 P4 R4 Q7 | D3
19 P4 R4 R3 | S3
19 P4 R4 R3 S3 | Q3
19 P4 R4 R3 S3 Q3 | S5
19 P4 R4 R3 S3 Q3 S5 | L3
19 P4 R15 | E16
19 R3 | D16
19 R3 D16 | C3
19 R3 D16 C3 | Q16
19 R3 D16 C3 Q16 | R14
19 R3 D16 C3 Q16 R14 | O17
19 R3 D16 C3 Q16 R14 O17 | C14
19 R3 D16 C3 Q16 R14 O17 C14 | F16
19 R3 D16 C3 Q16 R14 O17 S16 | R17
19 R3 D16 C3 Q16 R14 O17 S16 R17 | R11
19 R3 D16 C3 Q16 R14 O17 Q10 | O4
19 R3 D16 C3 Q16 R14 O17 Q10 O4 | Q6
19 R3 D16 C3 Q16 R14 O17 Q10 O4 Q6 | K3
19 R3 D16 C3 Q16 R14 O16 | Q10
19 R3 D16 C3 Q16 R14 O16 Q10 | K17
19 R3 D16 C3 Q16 R14 R12 | R17
19 R3 D16 C3 Q16 R14 R12 R17 | R16
19 R3 D16 C3 Q16 R14 R12 R17 R16 | Q17
19 R3 D16 C3 Q16 R14 R12 R17 R16 Q17 | P16
19 R3 D16 C3 Q16 R14 R12 R17 R16 Q17 P16 | S16
19 R3 D16 C3 Q16 R14 R12 R17 R16 Q17 P16 S16 | S15
19 R3 D16 C3 Q16 R14 R12 R17 R16 Q17 P16 S16 S15 | S17
19 R3 D16 C3 Q16 R14 R12 R17 R16 Q17 P16 S16 S15 S17 | R15
19 R3 D16 C3 Q16 R14 R12 R17 R16 Q17 P16 S16 S15 S17 R15 | O17
19 R3 D16 C3 Q16 R14 Q11 | R17
19 R3 D16 C3 Q16 R14 Q11 R17 | R16
19 R3 D16 C3 Q16 R14 Q11 R17 R16 | Q17
19 R3 D16 C3 Q16 R14 Q11 R17 R16 Q17 | P16
19 R3 D16 C3 Q16 R14 Q11 R17 R16 Q17 P16 | S16
19 R3 D16 C3 Q16 R14 Q11 R17 R16 Q17 P16 S16 | S15
19 R3 D16 C3 Q16 R14 Q11 R17 R16 Q17 P16 S16 S15 | S17
19 R3 D16 C3 Q16 R14 Q11 R17 R16 Q17 P16 S16 S15 S17 | R15
19 R3 D16 C3 Q16 R14 Q11 R17 R16 Q17 P16 S16 S15 S17 R15 | O17
19 R3 D16 C3 Q16 K17 | Q4
19 R3 D16 C3 Q16 K17 Q4 | Q3
19 R3 D16 C3 Q16 K17 Q4 Q3 | P4
19 R3 D16 C3 Q16 K17 Q4 Q3 P4 | S5
19 R3 D16 C3 Q16 K17 Q4 Q3 P4 S5 | D4
19 R3 D16 C3 Q16 K17 Q4 Q3 P4 S5 D4 | C4
19 R3 D16 C3 Q16 K17 Q4 Q3 P4 S5 D4 C4 | D5
19 R3 D16 C3 Q16 K17 Q4 Q3 P4 S5 D4 C4 D5 | E2
19 R3 D16 C3 Q16 K17 Q4 Q3 P4 S5 D4 C4 D5 E2 | Q7
19 R3 D16 C3 Q16 K17 Q4 Q3 P4 S5 D4 C4 D5 E2 Q7 | O2
19 R3 D16 C3 Q16 K17 Q4 R4 | Q5
19 R3 D16 C3 Q16 K17 Q4 R4 Q5 | P2
19 R3 D16 C3 Q16 K17 Q4 R4 Q5 P2 | N4
19 R3 D16 C3 Q16 K17 Q4 R4 Q5 P2 N4 | S6
19 R3 D16 C3 Q16 K17 Q4 R4 Q5 P2 N4 S6 | Q8
19 R3 D16 C3 Q16 K17 Q4 R4 Q5 P2 N4 S6 Q8 | O17
19 R3 D16 C3 Q16 K17 M17 | F17
19 R3 D16 C3 Q16 K17 M17 F17 | H17
19 R3 D16 C3 Q16 F17 | C14
19 R3 D16 C3 Q16 F17 C14 | O17
19 R3 D16 C3 Q16 F17 C14 O17 | R14
19 R3 D16 C3 Q16 F17 C14 O17 R14 | K16
19 R3 D16 C3 Q16 F17 H17 | O17
19 R3 D16 C3 Q16 F17 J16 | L17
19 R3 D16 C3 Q16 F17 J16 L17 | N17
19 R3 D16 C3 Q16 F17 J16 L17 N17 | J18
19 R3 D16 C3 Q16 F17 J16 L17 N17 J18 | L16
19 R3 D16 C3 Q16 F17 J16 L17 N17 J18 L16 | K16
19 R3 D16 C3 Q16 F17 J16 L17 N17 J18 L16 K16 | K15
19 R3 D16 C3 Q16 F17 J16 L17 N17 J18 L16 K16 K15 | K17
19 R3 D16 C3 Q16 F17 J16 L17 N17 J18 L16 K16 K15 K17 | M16
19 R3 D16 C3 Q16 F17 J16 L17 N17 J18 L16 K16 K15 K17 M16 | J15
19 R3 D16 C3 Q16 F17 J16 L17 N17 J18 L16 K16 K15 K17 M16 J15 | H16
19 R3 D16 C3 Q16 F17 J16 L17 N17 J18 L16 K16 K15 K17 M16 J15 H16 | F15
19 R3 D16 C3 Q16 F17 J16 L17 N17 J18 L16 K16 K15 K17 M16 J15 H16 F15 | J14
19 R3 D16 C3 Q16 F17 J16 L17 N17 J18 L16 K16 K15 K17 M16 J15 H16 F15 J14 | D14
19 R3 D16 C3 Q16 F17 J16 L17 N17 J18 L16 K16 K15 K17 M16 J15 H16 F15 J14 D14 | C14
19 R3 D16 C3 Q16 F17 J16 L17 N17 J18 L16 K16 K15 K17 M16 J15 H16 F15 J14 D14 C14 | D15
19 R3 D16 C3 Q16 F17 J16 L17 N17 J18 L16 K16 K15 K17 M16 J15 H16 F15 J14 D14 C14 D15 | C15
19 R3 D16 C3 Q16 F17 J16 L17 N17 J18 L16 K16 K15 K17 M16 J15 H16 F15 J14 D14 C14 D15 C15 | C16
19 R3 D16 C3 Q16 K3 | R10
19 R3 D16 C3 Q16 K3 R10 | F17
19 R3 D16 C3 Q16 K3 R10 F17 | C14
19 R3 D16 C3 Q16 K3 R10 F17 C14 | K16
19 R3 D16 C3 Q16 K3 K16 | R14
19 R3 D16 C3 R16 | P17
19 R3 D16 C3 R16 P17 | M16
19 R3 D16 C3 R16 P17 M16 | O16
19 R3 D16 C3 R16 P17 M16 O16 | Q18
19 R3 D16 C3 R16 P17 M16 O16 Q18 | R17
19 R3 D16 C3 R16 P17 M16 O16 Q18 R17 | Q17
19 R3 D16 C3 R16 P17 M16 O16 Q18 R17 Q17 | Q16
19 R3 D16 C3 R16 P17 M16 O16 Q18 R17 Q17 Q16 | Q15
19 R3 D16 C3 R16 P17 M16 O16 Q18 R17 Q17 Q16 Q15 | P16
19 R3 D16 C3 R16 P17 M16 O16 Q18 R17 Q17 Q16 Q15 P16 | S17
19 R3 D16 C3 R16 P17 M16 O16 Q18 R17 Q17 Q16 Q15 P16 S17 | R15
19 R3 D16 C3 R16 P17 M16 O16 Q18 R17 Q17 Q16 Q15 P16 S17 R15 | S16
19 R3 D16 C3 R16 P17 M16 O16 Q18 R17 Q17 Q16 Q15 P16 S17 R15 S16 | P18
19 R3 D16 C3 R16 P17 M16 O16 Q18 R17 Q17 Q16 Q15 P16 S17 R15 S16 P18 | R14
19 R3 D16 C3 R16 P17 M16 O16 Q18 R17 Q17 Q16 Q15 P16 S17 R15 S16 P18 R14 | R18
19 R3 D16 C3 R16 P17 M16 O16 Q18 R17 Q17 Q16 Q15 P16 S17 R15 S16 P18 R14 R18 | S18
19 R3 D16 C3 R16 P17 M16 O16 Q18 R17 Q17 Q16 Q15 P16 S17 R15 S16 P18 R14 R18 S18 | Q19
19 R3 D16 C3 R16 P17 M16 O16 Q13 | R18
19 R3 D16 C3 R16 P17 M16 P14 | R13
19 R3 D16 C3 R16 P17 L17 | Q16
19 R3 D16 C3 R16 P17 L17 Q16 | R15
19 R3 D16 C3 R16 P17 L17 Q16 R15 | R17
19 R3 D16 C3 R16 P17 L17 Q16 R15 R17 | S17
19 R3 D16 C3 R16 P17 L17 Q16 R15 R17 S17 | R18
19 R3 D16 C3 R16 P17 L17 Q16 R15 R17 S17 R18 | R12
19 R3 D16 C3 R16 O17 | Q17
19 R3 D16 C3 R16 O17 Q17 | L17
19 R3 D16 C3 R16 O17 Q17 L17 | J17
19 R3 D16 C3 R16 O17 Q17 L17 J17 | O15
19 R3 D16 C3 R16 O17 Q17 L17 J17 O15 | N16
19 R3 D16 C3 R16 O17 Q17 L17 J17 O15 N16 | O16
19 R3 D16 C3 R16 O17 Q17 L17 J17 O15 N16 O16 | R13
19 R3 D16 C3 R16 O17 Q17 L17 J17 C14 | F17
19 R3 D16 C3 R16 O17 Q17 L17 J17 C14 F17 | B16
19 R3 D16 C3 R16 O17 Q17 K16 | H17
19 R3 D16 C3 R16 O17 Q17 K16 H17 | O15
19 R3 D16 C3 R16 O17 Q17 K16 H17 O15 | R13
19 R3 D16 C3 R16 P16 | P17
19 R3 D16 C3 R16 P16 P17 | O17
19 R3 D16 C3 R16 P16 P17 O17 | Q17
19 R3 D16 C3 R16 P16 M16 | P14
19 R3 D16 C3 R16 C14 | F17
19 R3 D16 C3 Q4 | R4
19 R3 D16 C3 Q4 R4 | Q5
19 R3 D16 C3 P16 | R17
19 R3 D16 C3 P16 R17 | R15
19 R3 D16 C3 P16 R17 R15 | P17
19 R3 D16 C3 P16 R17 R15 P17 | O17
19 R3 D16 C3 R15 | C14
19 R3 D16 Q16 | D4
19 R3 D16 Q16 D3 | D5
19 R3 D16 Q16 D3 D5 | C5
19 R3 D16 Q16 D3 D5 C5 | C6
19 R3 D16 Q16 D3 D5 C5 C6 | C4
19 R3 D16 Q16 D3 D5 C5 C6 C4 | F17
19 R3 D16 Q16 D3 D5 C5 C6 C4 F17 | C14
19 R3 D16 Q16 D3 D5 C5 C6 C4 F17 C14 | D7
19 R3 D16 Q16 D3 D5 C5 C6 C4 F17 C14 D7 | F3
19 R3 D16 Q16 D3 D5 C5 C6 C4 F17 C14 D7 F3 | C11
19 R3 D16 Q16 D3 D5 C5 C6 C4 F17 C14 D7 F3 C11 | D18
19 R3 D16 Q16 D3 D5 C5 C6 C4 C14 | F17
19 R3 D16 Q16 D3 D5 C5 C6 C4 C14 F17 | D6
19 R3 D16 Q16 D3 D5 C5 C6 C4 C14 F17 D6 | F3
19 R3 D16 Q16 D3 C5 | C9
19 R3 D16 Q16 C4 | E3
19 R3 D16 Q16 Q4 | R4
19 R3 D16 Q16 Q4 R4 | Q5
19 R3 D16 Q16 Q4 R4 Q5 | P2
19 R3 D16 F17 | C14
19 R3 D16 F17 C14 | R16
19 R3 D16 D5 | Q16
19 R3 D16 D5 Q16 | O17
19 R3 D16 D5 Q16 O17 | R14
19 R3 Q16 | C17
19 R3 Q16 C17 | D4
19 R3 Q16 C17 D4 | O17
19 R3 Q16 C17 D4 O17 | R14
19 R3 Q16 C17 D4 O17 R14 | Q18
19 R3 Q16 C17 D4 O17 R14 Q18 | R17
19 R3 Q16 C17 D4 O17 R14 Q18 R17 | L17
19 R3 Q16 C17 D4 O17 R14 Q18 R17 L17 | D14
19 R3 Q16 C17 D4 K10 | F17
19 R3 Q16 C17 D4 K10 F17 | D15
19 R3 Q16 C17 D4 K10 F17 D15 | K17
19 R3 Q16 C17 D4 K17 | D16
19 R3 Q16 C17 D4 K17 D16 | C16
19 R3 Q16 C17 D4 K17 D16 C16 | D15
19 R3 Q16 C17 D3 | C5
19 R3 Q16 C17 D3 C5 | D8
19 R3 Q16 C17 D3 C5 D8 | D6
19 R3 Q16 C17 K10 | C3
19 R3 Q16 C17 K10 C3 | D16
19 R3 Q16 C4 | D16
19 R3 Q16 C4 C16 | E16
19 R3 Q16 C4 C16 E16 | E17
19 R3 Q16 C4 C16 E16 E17 | F17
19 R3 Q16 C4 C16 E16 E17 F17 | D17
19 R3 Q16 C4 C16 R14 | O17
19 R3 Q16 C4 C16 R14 O17 | Q10
19 R3 Q16 C4 C16 O17 | M17
19 R3 Q16 C4 C16 O17 M17 | F17
19 R3 Q16 C4 C16 O17 M17 F17 | D17
19 R3 Q16 C4 C16 O17 M17 F17 D17 | J17
19 R3 Q16 C4 C16 O17 M17 F17 D17 J17 | O16
19 R3 Q16 C4 E4 | E3
19 R3 Q16 C4 E4 E3 | F3
19 R3 Q16 C4 E4 E3 F3 | D3
19 R3 Q16 C4 E4 D16 | Q4
19 R3 Q16 C4 E4 D16 Q4 | R4
19 R3 Q16 C4 E4 D16 Q4 R4 | Q5
19 R3 Q16 C4 E4 D16 Q4 R4 Q5 | P2
19 R3 Q16 C4 D17 | F3
19 R3 Q16 C4 D17 F3 | C10
19 R3 Q16 D16 | D4
19 R3 Q16 D16 D4 | O17
19 R3 Q16 D16 D4 O17 | R14
19 R3 Q16 D16 D4 O17 R14 | Q18
19 R3 Q16 D16 D4 O17 R14 Q18 | R17
19 R3 Q16 D16 D4 O17 R14 Q18 R17 | L17
19 R3 Q16 D16 D4 O17 Q14 | Q18
19 R3 Q16 D16 D4 R14 | O17
19 R3 Q16 D16 D4 R14 O17 | Q11
19 R3 Q16 D16 C4 | E3
19 R3 Q16 D16 C4 E3 | J4
19 R3 Q16 D16 C4 E4 | G3
19 R3 Q16 D16 C4 K10 | F3
19 R3 Q16 D16 C4 K10 F3 | D10
19 R3 Q16 D16 C4 K10 F3 D10 | F17
19 R3 Q16 D16 C4 K10 F3 D10 F17 | K17
19 R3 Q16 D16 C4 K10 F3 D10 F17 K17 | C14
19 R3 Q16 D16 C4 K10 F3 D10 F17 K17 C14 | C17
19 R3 Q16 D16 C4 K10 F3 D10 F17 K17 C14 C17 | E15
19 R3 Q16 D16 D3 | C5
19 R3 Q16 D16 D3 K10 | C14
19 R3 Q16 C16 | D4
19 R3 Q16 C16 D4 | E17
19 R3 Q16 C16 D4 O17 | R14
19 R3 Q16 C16 D4 O17 R14 | J17
19 R3 Q16 C16 D3 | E17
19 R3 Q16 C16 D3 E17 | C6
19 R3 Q16 C16 D3 E17 C6 | J3
19 R3 Q16 C16 C4 | E17
19 R3 Q16 C16 C4 E17 | C11
19 R3 Q16 C16 C4 E17 C11 | E3
19 R3 Q16 C16 E16 | E17
19 R3 Q16 C16 E16 E17 | F17
19 R3 Q16 C16 E16 E17 F17 | D17
19 R3 Q16 D17 | D4
19 R3 Q16 D17 C4 | E3
19 R3 Q16 D17 C4 E3 | G4
19 R3 Q16 D17 C4 F3 | D3
19 R3 D3 | C17
19 R3 D3 C17 | Q17
19 R3 D3 C17 Q17 | C5
19 R3 D3 C17 Q17 C5 | D8
19 R3 D3 C17 Q17 C5 E4 | C9
19 R3 D3 C17 Q17 C5 E4 C9 | R15
19 R3 D3 C17 R16 | P17
19 R3 D3 R17 | D16
19 R3 D3 R17 D17 | C10
19 R3 D3 R17 D17 C5 | C9
19 R3 D3 R17 D17 C5 C9 | E4
19 R3 D3 R17 D17 C5 C9 E4 | E3
19 R3 D3 R17 D17 C5 C9 E4 E3 | F4
19 R3 D3 R17 D17 C5 C9 E4 E3 F4 | F3
19 R3 D3 R17 D17 C5 C9 E4 E3 F4 F3 | G4
19 R3 D3 R17 D17 C5 C9 E4 E3 F4 F3 G4 | H3
19 R3 D3 Q17 | D17
19 R3 D3 Q17 C17 | D5
19 R3 D3 Q17 C17 D5 | Q15
19 R3 D3 Q17 C17 R15 | L17
19 R3 D3 R16 | D17
19 R3 D3 R16 D17 | P17
19 R3 D3 D16 | Q16
19 R3 D3 D16 Q17 | C5
19 R3 D3 D16 Q17 K10 | C5
19 R3 D3 D17 | R16
19 R3 D3 D17 R16 | C5
19 R3 D3 D17 Q16 | D5
19 R3 D3 C16 | Q17
19 R3 D3 C16 Q17 | R15
19 R3 D3 C16 Q17 Q15 | R15
19 R3 D3 C16 Q17 Q15 R15 | R14
19 R3 D3 C16 Q17 Q15 R15 R14 | R16
19 R3 Q4 | R4
19 R3 Q4 R4 | Q5
19 R3 Q4 R4 Q5 | P2
19 R3 Q4 R4 Q5 P2 | N4
19 R3 Q4 R4 Q5 P2 N4 | S6
19 R3 Q4 R4 Q5 P2 N4 S6 | D16
19 R3 Q4 R4 Q5 P2 N4 O4 | O5
19 R3 Q4 R4 Q5 P2 N4 O4 O5 | O3
19 R3 Q4 R4 Q5 P2 N4 O4 O5 O3 | M5
19 R3 Q4 R4 Q5 P2 N4 O4 O5 O3 M5 | S6
19 R3 Q4 R4 Q5 P2 N4 O4 O5 O3 M5 S6 | Q8
19 R3 Q4 R4 Q5 P2 N4 O4 O5 O3 M5 S6 Q8 | Q7
19 R3 Q4 R4 Q5 P2 N4 O4 O5 O3 M5 S6 Q8 Q7 | P7
19 R3 Q4 R4 Q5 P2 N4 O4 O5 O3 M5 S6 Q8 Q7 P7 | R7
19 R3 Q4 R4 Q5 Q3 | O4
19 R3 Q4 R4 Q5 Q3 O4 | P3
19 R3 Q4 R4 Q5 Q3 O4 P3 | N6
19 R3 Q4 R4 Q5 Q3 O4 P3 N6 | R6
19 R3 Q4 R4 Q5 Q3 O4 P3 N6 R6 | D3
19 R3 Q4 R4 Q5 Q3 O4 P3 N6 R6 D3 | C17
19 R3 Q4 R4 Q6 | Q5
19 R3 Q4 R4 Q6 Q5 | P5
19 R3 Q4 R4 Q6 Q5 P5 | R5
19 R3 Q17 | D3
19 R3 Q17 D3 | C16
19 R3 Q17 D3 C16 | R15
19 R3 Q17 D3 C16 R15 | C5
19 R3 Q17 D3 C16 R15 C5 | E16
19 R3 Q17 D3 C16 R15 C5 E17 | Q12
19 R3 Q17 D3 C16 R15 C5 E17 Q12 | Q14
19 R3 Q17 C4 | C16
19 R3 Q17 C4 C16 | R15
19 R3 Q17 C4 C16 R15 | Q12
19 R3 Q17 C4 C16 R15 Q12 | Q14
19 R3 Q17 C3 | C16
19 R3 Q17 C3 C16 | Q15
19 R3 Q17 C3 C16 Q15 | Q12
19 R3 Q17 C3 D16 | R15
19 R3 D17 | C3
19 R3 D17 D4 | R16
19 R3 D17 D4 R16 | D15
19 R3 D17 D4 R16 D15 | C15
19 R3 D17 D4 R16 D15 C15 | C14
19 R3 D17 D4 R16 D15 C15 C14 | C16
19 R3 D17 D4 R16 D15 C15 C14 C16 | D14
19 R3 C17 | C3
19 R3 C17 C3 | R16
19 R3 C17 Q17 | D3
19 R3 R15 | C17
19 R3 E4 | C17
19 R3 E4 C17 | P16
19 P5 | D16
19 P5 D16 | P15
19 P5 D16 P15 | D4
19 P5 D16 P15 D4 | F17
19 P5 D16 P15 D4 F17 | C14
19 P5 D16 P15 D4 F17 C14 | F15
19 P5 D16 P15 D4 F17 J16 | G15
19 P5 D16 P15 D4 F17 J16 G15 | C14
19 P5 D16 P15 D4 F17 J16 G15 C14 | J15
19 P5 D16 P15 D4 E10 | R15
19 P5 D16 P15 D4 E10 R15 | R16
19 P5 D16 P15 D4 E10 R15 R16 | S16
19 P5 D16 P15 D4 E10 R15 R16 S16 | Q16
19 P5 D16 P15 D4 E10 R15 R16 S16 Q16 | R17
19 P5 D16 P15 D4 E10 R15 R16 S16 Q16 R17 | S17
19 P5 D16 P15 D4 E10 R15 R16 S16 Q16 R17 S17 | S18
19 P5 D16 P15 D4 E10 R15 R16 S16 Q16 R17 S17 S18 | S15
19 P5 D16 P15 D4 E10 R15 R16 S16 Q16 R17 S17 S18 S15 | T17
19 P5 D16 P15 D4 E10 R15 R16 S16 Q16 R17 S17 S18 S15 T17 | R14
19 P5 D16 P15 D4 E10 R15 R16 S16 Q16 R17 S17 S18 S15 T17 R14 | O17
19 P5 D16 P15 D4 E10 R10 | P10
19 P5 D16 P15 D4 E10 F16 | F4
19 P5 D16 P15 D4 E10 F16 F4 | D6
19 P5 D16 P15 D4 E10 F16 F4 D6 | F6
19 P5 D16 P15 D4 E10 F16 F4 D6 F6 | P3
19 P5 D16 P15 D4 E10 F16 F4 D6 F6 P3 | Q3
19 P5 D16 P15 D4 E10 F16 F4 D6 F6 P3 Q3 | Q2
19 P5 D16 P15 D4 E10 F16 F4 D6 F6 P3 Q3 Q2 | Q4
19 P5 D16 P15 D4 J10 | R5
19 P5 D16 P15 D4 J10 R5 | Q7
19 P5 D16 P15 D4 J10 Q10 | R8
19 P5 D16 P15 D4 J10 Q10 R8 | R15
19 P5 D16 P15 D4 J10 Q10 R8 R15 | Q12
19 P5 D16 P15 D4 G16 | D14
19 P5 D16 P15 D4 G16 D14 | G4
19 P5 D16 P15 D3 | D5
19 P5 D16 P15 D3 D5 | D8
19 P5 D16 P15 D3 D5 D8 | G4
19 P5 D16 P15 R17 | R15
19 P5 D16 O16 | D4
19 P5 D16 O16 E4 | G15
19 P5 D16 O16 E4 G15 | D14
19 P5 D16 O16 E4 G15 D14 | F12
19 P5 D16 O16 E4 C4 | C3
19 P5 D16 O16 E4 C4 C3 | B3
19 P5 D16 O16 E4 C4 C3 B3 | D3
19 P5 D16 O16 E4 C4 C3 B3 D3 | C7
19 P5 D16 O16 E4 C4 C3 B3 D3 C7 | B2
19 P5 D16 O16 E4 C4 C3 B3 D3 C7 B2 | C10
